County,First_FPC_Score
"Walton, Georgia, US",15.315864029773893
"Ware, Georgia, US",11.713005423935057
"Warren, Georgia, US",-31.598414518219975
"Washington, Georgia, US",-4.138291435222132
"Wayne, Georgia, US",1.032862145171402
"Webster, Georgia, US",-44.757575534893945
"Wheeler, Georgia, US",-16.85565109031314
"White, Georgia, US",0.5104546636529969
"Whitfield, Georgia, US",26.532496160342244
"Wilcox, Georgia, US",-13.697923912171182
"Wilkes, Georgia, US",-17.873120469429296
"Wilkinson, Georgia, US",-13.93900981407546
"Worth, Georgia, US",-2.681645444355389
"Hawaii, Hawaii, US",-5.932635303149218
"Honolulu, Hawaii, US",32.21154115162746
"Kauai, Hawaii, US",-40.99138690492646
"Maui, Hawaii, US",-9.548886425701077
"Ada, Idaho, US",45.42502222499938
"Adams, Idaho, US",-26.25895936882211
"Bannock, Idaho, US",3.205079069123315
"Bear Lake, Idaho, US",-15.897780655190298
"Benewah, Idaho, US",-16.247793578027196
"Bingham, Idaho, US",10.81107393226526
"Blaine, Idaho, US",5.122961074363921
"Boise, Idaho, US",-16.38885843708082
"Bonner, Idaho, US",5.509665693894346
"Bonneville, Idaho, US",14.92465176178899
"Boundary, Idaho, US",-7.084885698114392
"Butte, Idaho, US",-12.242137757659844
"Camas, Idaho, US",-26.762655729373904
"Canyon, Idaho, US",34.89598737227026
"Caribou, Idaho, US",-13.685895535573488
"Cassia, Idaho, US",1.2583832773438473
"Clark, Idaho, US",-36.51543372545678
"Clearwater, Idaho, US",-6.42409869352421
"Custer, Idaho, US",-20.50610369350186
"Elmore, Idaho, US",-12.752508569342295
"Franklin, Idaho, US",-8.177889572662668
"Fremont, Idaho, US",0.3969351291812453
"Gem, Idaho, US",-17.49994794820164
"Gooding, Idaho, US",-12.410933115036146
"Idaho, Idaho, US",-0.7244335359828198
"Jefferson, Idaho, US",-10.066037949764743
"Jerome, Idaho, US",2.571848291026362
"Kootenai, Idaho, US",16.09834518088216
"Latah, Idaho, US",-6.802131846865296
"Lemhi, Idaho, US",-8.117511751202551
"Lewis, Idaho, US",-5.015198000150398
"Lincoln, Idaho, US",-29.142947712896405
"Madison, Idaho, US",-0.2654261479271166
"Minidoka, Idaho, US",0.6023748127626852
"Nez Perce, Idaho, US",-4.551532824525633
"Oneida, Idaho, US",-21.655962994327556
"Owyhee, Idaho, US",-13.732655390953523
"Payette, Idaho, US",-5.086519416266479
"Power, Idaho, US",-12.818884116678372
"Shoshone, Idaho, US",5.526910173639706
"Teton, Idaho, US",-25.741334704971248
"Twin Falls, Idaho, US",22.665428810492923
"Valley, Idaho, US",-7.673793874561105
"Washington, Idaho, US",-2.410884703017436
"Adams, Illinois, US",8.721261977133427
"Alexander, Illinois, US",-27.64879123305281
"Bond, Illinois, US",-13.68394205915748
"Boone, Illinois, US",16.11814920668841
"Brown, Illinois, US",-30.521136555353127
"Bureau, Illinois, US",-6.882455994149205
"Calhoun, Illinois, US",-10.771602811958958
"Carroll, Illinois, US",-20.85539913659928
"Cass, Illinois, US",-3.3223040604630336
"Champaign, Illinois, US",28.104240959906075
"Christian, Illinois, US",-10.43240861795332
"Clark, Illinois, US",-15.653793349829902
"Clay, Illinois, US",6.300263327523235
"Clinton, Illinois, US",6.258401303829237
"Coles, Illinois, US",9.822236907254592
"Cook, Illinois, US",90.64554249868907
"Crawford, Illinois, US",-14.699207015216556
"Cumberland, Illinois, US",-13.622047822849133
"De Witt, Illinois, US",-1.2791279552851316
"DeKalb, Illinois, US",16.953975222170847
"Douglas, Illinois, US",-13.978115104114922
"DuPage, Illinois, US",58.604109258670036
"Edgar, Illinois, US",-0.4015584952954264
"Edwards, Illinois, US",-10.487374525824658
"Effingham, Illinois, US",-2.9717895202808227
"Fayette, Illinois, US",-12.232529122892398
"Ford, Illinois, US",-20.464635234566934
"Franklin, Illinois, US",-5.515799111786177
"Fulton, Illinois, US",-6.104122849458812
"Gallatin, Illinois, US",-11.123767601929766
"Greene, Illinois, US",-11.654235116471659
"Grundy, Illinois, US",1.5513760318079335
"Hamilton, Illinois, US",-8.224372408235686
"Hancock, Illinois, US",-14.956671793385711
"Hardin, Illinois, US",-18.16334743401035
"Henderson, Illinois, US",-31.583867206115134
"Henry, Illinois, US",-0.9836006598910176
"Iroquois, Illinois, US",-3.799169638477804
"Jackson, Illinois, US",10.243027901726661
"Jasper, Illinois, US",-15.688810519062633
"Jefferson, Illinois, US",1.460231853225199
"Jersey, Illinois, US",-13.109132995215202
"Jo Daviess, Illinois, US",-15.656561111021968
"Johnson, Illinois, US",-11.415012571469385
"Kane, Illinois, US",52.61748615582095
"Kankakee, Illinois, US",27.068804326286916
"Kendall, Illinois, US",22.016526294192705
"Knox, Illinois, US",7.618737849659522
"LaSalle,Illinois,US",12.785622719352451
"Lake, Illinois, US",57.931594947093
"Lawrence, Illinois, US",6.735603841684479
"Lee, Illinois, US",-3.7824572257055737
"Livingston, Illinois, US",-10.585861279269835
"Logan, Illinois, US",-5.652130502641392
"Macon, Illinois, US",15.931681333412609
